,county_name,precinct_name,office_title,candidate_ballot_name,yes_votes,no_votes,Unnamed: 6,Unnamed: 7
144,Atchison,TARKIO,State Representative - District 1,Allen Andrews,520,,,
145,Atchison,ROCK PORT,State Representative - District 1,Allen Andrews,646,,,
146,Atchison,FAIRFAX,State Representative - District 1,Allen Andrews,378,,,
147,Atchison,WESTBORO,State Representative - District 1,Allen Andrews,121,,,
148,Atchison,WATSON,State Representative - District 1,Allen Andrews,50,,,
4082,Holt,NORTHWEST,State Representative - District 1,Allen Andrews,178,,,
4083,Holt,NORTHEAST,State Representative - District 1,Allen Andrews,137,,,
4084,Holt,CENTRAL,State Representative - District 1,Allen Andrews,588,,,
4085,Holt,SOUTHEAST-SOUTHWEST,State Representative - District 1,Allen Andrews,633,,,
7464,Nodaway,ATCHISON (CLEARMONT),State Representative - District 1,Allen Andrews,123,,,
7465,Nodaway,GRANT (BARNARD),State Representative - District 1,Allen Andrews,198,,,
7466,Nodaway,GREEN (QUITMAN),State Representative - District 1,Allen Andrews,73,,,
7467,Nodaway,HOPKINS (HOPKINS),State Representative - District 1,Allen Andrews,160,,,
7468,Nodaway,HUGHES (GRAHAM),State Representative - District 1,Allen Andrews,174,,,
7469,Nodaway,INDEPENDENCE (PARNELL),State Representative - District 1,Allen Andrews,91,,,
7470,Nodaway,JACKSON (RAVENWOOD),State Representative - District 1,Allen Andrews,349,,,
7471,Nodaway,JEFFERSON (CONCEPTION JCT),State Representative - District 1,Allen Andrews,224,,,
7472,Nodaway,LINCOLN (ELMO),State Representative - District 1,Allen Andrews,131,,,
7473,Nodaway,MONROE (SKIDMORE),State Representative - District 1,Allen Andrews,137,,,
7474,Nodaway,NODAWAY (BURL JCT),State Representative - District 1,Allen Andrews,221,,,
7475,Nodaway,UNION (PICKERING),State Representative - District 1,Allen Andrews,146,,,
7476,Nodaway,WASHINGTON (GUILFORD),State Representative - District 1,Allen Andrews,118,,,
7477,Nodaway,WHITE CLOUD,State Representative - District 1,Allen Andrews,174,,,
7478,Nodaway,POLK A-POLK D,State Representative - District 1,Allen Andrews,1139,,,
7479,Nodaway,POLK E,State Representative - District 1,Allen Andrews,492,,,
7480,Nodaway,POLK B-POLK C,State Representative - District 1,Allen Andrews,1343,,,
13643,Worth,ALLEN,State Representative - District 1,Allen Andrews,61,,,
13644,Worth,EAST FLETCHALL,State Representative - District 1,Allen Andrews,144,,,
13645,Worth,GREENE,State Representative - District 1,Allen Andrews,73,,,
13646,Worth,MIDDLE FORK,State Representative - District 1,Allen Andrews,62,,,
13647,Worth,SMITH,State Representative - District 1,Allen Andrews,72,,,
13648,Worth,WEST FLETCHALL,State Representative - District 1,Allen Andrews,190,,,
13649,Worth,WEST UNION,State Representative - District 1,Allen Andrews,125,,,
