district,votes_sum,min_yes_votes,min_no_votes,over_half_yes,over_half_no
1,12695,6461,6059,True,False
2,10741,5941,5979,True,True
3,11940,2377,2695,False,False
4,10386,5560,5051,True,False
5,14170,6969,5732,False,False
6,14353,4529,4989,False,False
7,12264,5808,5664,False,False
8,15195,7958,5108,True,False
9,15932,5183,4260,False,False
10,9897,3947,1951,False,False
11,14000,5460,3279,False,False
12,17115,6019,2559,False,False
13,19439,8906,3326,False,False
14,17893,11792,4085,True,False
15,14692,9858,2960,True,False
16,19517,8104,2634,False,False
17,15261,6202,2108,False,False
18,14674,8087,2361,True,False
19,6180,4707,1667,True,False
20,13060,8418,3481,True,False
21,8202,8126,2933,True,False
22,9610,5316,5320,True,True
23,7510,3517,3869,False,True
24,16750,15592,2767,True,False
25,17598,17824,3517,True,False
26,12823,8116,5521,True,False
27,10084,5675,5532,True,True
28,12026,8561,3584,True,False
29,10512,9945,3846,True,False
30,17725,11552,4091,True,False
31,14955,9742,4185,True,False
32,14951,10108,3879,True,False
33,14903,7638,3780,True,False
34,16697,11331,4150,True,False
35,17135,11391,4273,True,False
36,12416,8753,5068,True,False
37,14498,9407,4073,True,False
38,16164,6302,2568,False,False
39,14245,6444,4963,False,False
40,11492,5995,5407,True,False
41,15460,6320,4803,False,False
42,15463,7040,6425,False,False
43,12585,5747,5005,False,False
44,14802,7903,4098,True,False
45,9423,5823,1524,True,False
46,17790,9033,2370,True,False
47,15998,7699,3454,False,False
48,13688,3819,3875,False,False
49,13964,2647,2324,False,False
50,19893,6951,3856,False,False
51,11992,3271,2335,False,False
52,11198,4165,2531,False,False
53,14303,7302,4625,True,False
54,13067,4270,3236,False,False
55,13557,3623,1685,False,False
56,11120,8464,3617,True,False
57,13938,6355,4502,False,False
58,11350,5047,4580,False,False
59,15633,2876,2869,False,False
60,15516,6886,4416,False,False
61,16091,4480,4824,False,False
62,14854,4348,5534,False,False
63,19758,5394,3584,False,False
64,17121,1142,751,False,False
65,16261,8164,3992,True,False
66,9276,5466,4453,True,False
67,17285,9742,7449,True,False
68,12417,8476,6449,True,True
69,14824,8573,6039,True,False
70,16070,9181,5379,True,False
71,13943,10374,5085,True,False
72,13542,8646,4819,True,False
73,9475,6675,4178,True,False
74,9856,6391,5105,True,True
75,11427,5936,5921,True,True
76,10444,8391,2315,True,False
77,10834,9518,2271,True,False
78,9935,8821,2121,True,False
79,13309,10978,2525,True,False
80,13827,12968,2314,True,False
81,9789,8571,2520,True,False
82,16836,13227,3656,True,False
83,16843,13408,4373,True,False
84,11679,10136,2657,True,False
85,12685,8637,4057,True,False
86,13231,10603,4537,True,False
87,19251,14174,4782,True,False
88,19047,12789,5865,True,False
89,22134,12768,8972,True,False
90,15809,14324,6708,True,False
91,20614,14523,5747,True,False
92,16907,10978,5675,True,False
93,9436,7877,4162,True,False
94,15131,8824,6011,True,False
95,17973,10217,7453,True,False
96,20529,11757,8372,True,False
97,14277,4188,2341,False,False
98,18939,10678,8026,True,False
99,17382,10777,6402,True,False
100,20106,11322,8491,True,False
101,18807,9940,8550,True,False
102,18067,6804,4352,False,False
103,18632,6491,4185,False,False
104,17170,5500,3108,False,False
105,18749,7546,4238,False,False
106,15246,3116,1355,False,False
107,16517,7015,4137,False,False
108,18064,3899,2516,False,False
109,15633,4599,3696,False,False
110,17261,8454,7122,False,False
111,15038,5291,3729,False,False
112,15695,2437,1722,False,False
113,14049,2092,1197,False,False
114,14288,4457,3047,False,False
115,10598,5279,3763,False,False
116,14889,4756,3179,False,False
117,11337,4208,3080,False,False
118,12524,2865,2166,False,False
119,12940,6200,5232,False,False
120,13410,3118,2524,False,False
121,11540,4184,2672,False,False
123,14915,5270,4804,False,False
124,16523,4499,3361,False,False
125,15181,5964,5548,False,False
126,13230,5697,5138,False,False
127,14810,5644,7874,False,True
128,14057,6233,5365,False,False
129,14007,6017,5995,False,False
130,15890,7197,4764,False,False
131,13440,3741,2169,False,False
132,8365,2941,1090,False,False
133,16361,6370,3368,False,False
134,15278,5947,2345,False,False
135,14806,5664,2184,False,False
136,20238,7855,4234,False,False
137,17803,6457,4693,False,False
138,14734,9512,5956,True,False
139,17018,3808,2526,False,False
140,16729,8545,6451,True,False
141,11516,4676,5187,False,False
142,10412,5653,5538,True,True
143,11009,6694,6136,True,True
144,9782,4848,4771,False,False
145,13828,6412,6744,False,False
146,18670,6757,6401,False,False
148,10937,3079,3342,False,False
149,10121,3962,3945,False,False
150,8671,3918,3486,False,False
151,13101,5087,5540,False,False
152,10684,4132,3979,False,False
153,13049,5802,5851,False,False
154,11628,5970,5624,True,False
155,12778,6561,6114,True,False
156,12891,6068,3881,False,False
157,13370,6522,5447,False,False
158,11348,6841,5078,True,False
159,11255,5121,5654,False,True
160,14189,3895,4279,False,False
161,11885,3618,2713,False,False
162,13059,5627,4939,False,False
163,12265,3644,3887,False,False
